person	position	institution	address	year
John S. Blake-Reed	Conseiller	Cour d'Appel Mixte		1941
L.P.J. Bassard	Conseiller	Cour d'Appel Mixte		1941
Dr. Abdel Salam Zohni Bey	Conseiller	Cour d'Appel Mixte		1941
William Murray Graham	Conseiller	Cour d'Appel Mixte		1941
S.A. Vlachos	Conseiller	Cour d'Appel Mixte		1941
Khalil Ghazalat Bey	Conseiller	Cour d'Appel Mixte		1941
Mohamed Aly Zeki Bey	Conseiller	Cour d'Appel Mixte		1941
Francis J. Peter	Conseiller	Cour d'Appel Mixte		1941
Ahmed Mazloum Bey	Conseiller	Cour d'Appel Mixte		1941
Hassan Kamel Bey	Conseiller	Cour d'Appel Mixte		1941
Mahmoud Said Bey	Conseiller	Cour d'Appel Mixte		1941
Edwin S. Lemass	Conseiller	Cour d'Appel Mixte		1941
J.B. Henri-Peuch	Conseiller	Cour d'Appel Mixte		1941
Th. Heyligers	Conseiller	Cour d'Appel Mixte		1941
Georges Sisto Bey	Greffier en Chef	Cour d'Appel Mixte		1941
Hugh Holmes, K.C.	Procureur Général	Parquet Général Mixte	Place Mohamed Aly, 23132, Alexandrie	1941
Mohamed Onsy Bey	1er Avocat Général	Parquet Général Mixte		1941
E.G. Payne	2ème Avocat Général	Parquet Général Mixte		1941
R.L. Henry	Président	Tribunal Mixte d'Alexandrie	Place Mohamed Aly, 27922, Alexandrie.	1941
Soliman Yousri Bey	Vice-Président	Tribunal Mixte d'Alexandrie		1941
E. Vroonen	Juge	Tribunal Mixte d'Alexandrie		1941
Niels Dahl	Juge	Tribunal Mixte d'Alexandrie		1941
D. Sarsentis	Juge	Tribunal Mixte d'Alexandrie		1941
Carl Seidelin-Larsen	Juge	Tribunal Mixte d'Alexandrie		1941
Sverre Daehli	Juge	Tribunal Mixte d'Alexandrie		1941
François Fairé	Juge	Tribunal Mixte d'Alexandrie		1941
Mohamed Fahmy el-Issaoui Bey	Juge	Tribunal Mixte d'Alexandrie		1941
René Stenuit	Juge	Tribunal Mixte d'Alexandrie		1941
Osman Sabry	Juge	Tribunal Mixte d'Alexandrie		1941
Ismail Ibrahim Gazzarine	Juge	Tribunal Mixte d'Alexandrie		1941
Hussein Fakhry Bey	Juge	Tribunal Mixte d'Alexandrie		1941
Marcel Laforge	Juge	Tribunal Mixte d'Alexandrie		1941
Poly Modinos	Juge	Tribunal Mixte d'Alexandrie		1941
Youssef Mohamed Delavor	Juge	Tribunal Mixte d'Alexandrie		1941
Hugo Wickstrom	Juge	Tribunal Mixte d'Alexandrie		1941
Hassouna El-Toayar	Juge	Tribunal Mixte d'Alexandrie		1941
Ahmed Niazi Bey	Juge	Tribunal Mixte d'Alexandrie		1941
Adib Maakad Bey	Greffier en Chef	Tribunal Mixte d'Alexandrie		1941
Me. Georges Roussas	Bâtonnier de l'Ordre des Avocats près les Juridictions Mixtes	Barreau Mixte	Place Mohamed Aly, 26459, Alexandrie.	1941
Me. Paolo Colucci	Substitut du Bâtonnier	Barreau Mixte		1941
H.G. Bechmann	Président	Tribunal Mixte du Caire	Avenue Fouad 1er, 57730, Le Caire	1941
Ahmed Saroit Bey	Vice-Président	Tribunal Mixte du Caire		1941
Maurice de Wée	Juge	Tribunal Mixte du Caire		1941
José Fesser y Reina	Juge	Tribunal Mixte du Caire		1941
Torsten Salen	Juge	Tribunal Mixte du Caire		1941
Jacques Eeman	Juge	Tribunal Mixte du Caire		1941
Moustafa Mokhtar Bey	Juge	Tribunal Mixte du Caire		1941
Ahmed Kamel Chihab el-Dine Bey	Juge	Tribunal Mixte du Caire		1941
Riad Abdelaziz Bey	Juge	Tribunal Mixte du Caire		1941
H.H. Barne	Juge	Tribunal Mixte du Caire		1941
J.M. De Freitas	Juge	Tribunal Mixte du Caire		1941
G. Roilos	Juge	Tribunal Mixte du Caire		1941
Mohamed Charmy Bey	Juge	Tribunal Mixte du Caire		1941
Robert Courvoisier	Juge	Tribunal Mixte du Caire		1941
Zakaria Mohanna Bey	Juge	Tribunal Mixte du Caire		1941
Iskandar Assabghi Bey	Juge	Tribunal Mixte du Caire		1941
Kamel Wasfi Abouldahab Bey	Juge	Tribunal Mixte du Caire		1941
Abdou El-Barkouki	Juge	Tribunal Mixte du Caire		1941
Hamed El-Hitami	Juge	Tribunal Mixte du Caire		1941
Abdelfattah Fahmy Khattab	Juge	Tribunal Mixte du Caire		1941
Ahmed Neguib Rabie Bey	Juge	Tribunal Mixte du Caire		1941
Mohamed Abdelmoneim Riad Bey	Juge	Tribunal Mixte du Caire		1941
Hilmi Makram Ebeid	Juge	Tribunal Mixte du Caire		1941
Mahmoud Sadek	Juge	Tribunal Mixte du Caire		1941
Mohamed Kamel Amine Malache	Juge	Tribunal Mixte du Caire		1941
Mohamed Mokhtar Abdallah	Juge	Tribunal Mixte du Caire		1941
Ismail Aboulfetouh	Juge	Tribunal Mixte du Caire		1941
Said Zulficar Bey	Chef du Parquet	Tribunal Mixte du Caire		1941
Armen Dermarkarian	Greffier en Chef	Tribunal Mixte du Caire		1941
Me. Raymond Schemeil	Substitut du Bâtonnier au Caire	Barreau Mixte	(Palais de Justice Mixte) Avenue Fouad 1er, 57124, Le Caire.	1941
Habib Fahmy Bey	Président	Tribunal Mixte de Mansourah		1941
S.E. Ahmed Mohamed Khachaba Pacha	Ministre	Ministère de la Justice	Rue Nubar Pacha, 84650, Le Caire.	1939
S.E. Moustafa Hanafi Bey	Sous-Secrétaire d'Etat	Ministère de la Justice		1939
S.E. Moustafa Mohamed Pacha	Président	Cour de Cassation	Midan Bab-el-Khalk, 85198, Le Caire.	1939
S.E. Mohamed Labib Attia Pacha	Vice-Président	Cour de Cassation		1939
Mohamed Fahmy Hussein Bey	Conseiller	Cour de Cassation		1939
Hamed Fahmy Bey	Conseiller	Cour de Cassation		1939
Abdel-Fattah el-Sayed Bey	Conseiller	Cour de Cassation		1939
Mohamed Kamel el-Rachidi Bey	Conseiller	Cour de Cassation		1939
Mahmoud Margouchy Pacha	Conseiller	Cour de Cassation		1939
S.E. Mohamed Fahmy Youssef Pacha	Président	Cour d'Appel Nationale	Midan Bab-el-Khalk, 85786, Le Caire.	1939
S.E. Mahmoud Sami Pacha	Vice-Président	Cour d'Appel Nationale		1939
S.E. Ahmed Nazif Bey	Président	Cour d'Appel National, Assiout		1939
Mohamed Naguib Salem Bey	Vice-Président	Cour d'Appel National, Assiout		1939
S.E. Yassin Ahmed Bey	Procureur Général	Parquet Général des Juridictions Nationales	Midan Bab-el-Khalk, 84803, Le Caire.	1939
Mohamed Hafez Bey	Avocat-Général	Parquet Général des Juridictions Nationales		1939
S.E. Ibrahi Helbaoui Bey	Bâtonnier de l'ordre des Avocats près Le Juridictions Indigènes	Barreau National		1939
Sir Richard A. Vaux	Président	Cour d'Appel Mixte	Place Mohamed Aly 26289  Alexandrie.	1939
S.E. Youssouf Zulficar Pacha	Vice-Président	Cour d'Appel Mixte		1939
Jasper Yates Brinton	Conseiller	Cour d'Appel Mixte		1939
C. Van Ackere	Conseiller	Cour d'Appel Mixte		1939
Alfonso Aguirre J. Cancer Comte de Andino	Conseiller	Cour d'Appel Mixte		1939
Scandar Azer Bey	Conseiller	Cour d'Appel Mixte		1939
Moustafa Naguib Bey	Conseiller	Cour d'Appel Mixte		1939
Erling Qvale	Conseiller	Cour d'Appel Mixte		1939
John S. Blake-Reed	Conseiller	Cour d'Appel Mixte		1939
L.P.J. Bassard	Conseiller	Cour d'Appel Mixte		1939
Dr. Abdel Salam Zohni Bey	Conseiller	Cour d'Appel Mixte		1939
William Murray Graham	Conseiller	Cour d'Appel Mixte		1939
S.A. Vlachos	Conseiller	Cour d'Appel Mixte		1939
Khalil Ghazalat Bey	Conseiller	Cour d'Appel Mixte		1939
Mohamed Aly Zeki Bey	Conseiller	Cour d'Appel Mixte		1939
Vincenzo Falqui-Cao	Conseiller	Cour d'Appel Mixte		1939
Francis J. Peter	Conseiller	Cour d'Appel Mixte		1939
Charles Puech-Barrera	Conseiller	Cour d'Appel Mixte		1939
Ahmed Mazloum Bey	Conseiller	Cour d'Appel Mixte		1939
Hassan Kamel Bey	Conseiller	Cour d'Appel Mixte		1939
Georges Sisto Bey	Greffier en Chef	Cour d'Appel Mixte		1939
Hughes Holmes, K.C.	Procureur Général	Parquet Général Mixte	Place Mohamed Aly, 27517, Alexandrie.	1939
Mohamed Fouad Hamdi Bey	1er Avocat Général	Parquet Général Mixte		1939
E.G. Payne	2ème Avocat Général	Parquet Général Mixte		1939
Ismail Abdelfetouh	Chef du Parquet du Tribunal d'Alexandrie	Parquet Général Mixte		1939
Aly Mourad	Directeur Général	Parquet Général Mixte		1939
M. Monteiro	Président	Tribunal Mixte d'Alexandrie	Place Mohamed Aly, 27922, Alexandrie.	1939
Mahmoud Said Bey	Vice-Président	Tribunal Mixte d'Alexandrie		1939
Th. Heyligers	Juge	Tribunal Mixte d'Alexandrie		1939
R.L. Henry	Juge	Tribunal Mixte d'Alexandrie		1939
E. Vroonen	Juge	Tribunal Mixte d'Alexandrie		1939
Niels Dahl	Juge	Tribunal Mixte d'Alexandrie		1939
D. Sarsentis	Juge	Tribunal Mixte d'Alexandrie		1939
Josep Ricol	Juge	Tribunal Mixte d'Alexandrie		1939
Soliman Yousri	Juge	Tribunal Mixte d'Alexandrie		1939
Carl Seidelin-Larsen	Juge	Tribunal Mixte d'Alexandrie		1939
Vittorio E. Impallomeni	Juge	Tribunal Mixte d'Alexandrie		1939
Sverre Daehli	Juge	Tribunal Mixte d'Alexandrie		1939
E.S. Lemass	Juge	Tribunal Mixte d'Alexandrie		1939
